List,Card Name,Description,Labels,Members,Due Date
Phase 0,C0.9 Reservation TTL sweeper + out_of_stock,"**Maqsad:** Band qilingan, lekin to'lanmagan tovarni avtomat bo'shatish va tugagan tovarni ""sotuvda yo'q"" qilish.

Cron (vaqti-vaqti bilan ishlaydigan) vazifa: muddati o'tgan (`held` va `expires < hozir`) rezervlarni topib `release` qiladi. Qoldiq 0 ga tushsa, mahsulot avtomat `OUT_OF_STOCK` bo'ladi (catalog'ga event yuboriladi).

**Ishlar:**
- TTL sweeper cron: muddati o'tgan reservni bo'shatish
- qoldiq 0 → out_of_stock event || TEST: TC1 expired->released,res qaytadi; TC2 muddat o'tmagan tegilmaydi; TC3 oh=0->out_of_stock event.",Phase 0;Backend-Commerce;High;S,Dilshodbek,2026-07-30
Phase 0,C0.10 Inventory testlar,"**Maqsad:** Sklad mantig'i xatosiz ishlashini avtomat testlar bilan kafolatlash.

Turli holatlar uchun testlar yoziladi: oddiy oqim, ""ortiqcha sotib bo'lmasligi"" (oversell imkonsiz), bir vaqtda ko'p so'rov (concurrency), idempotency, TTL. CI'da hammasi yashil bo'lishi kerak.

**Ishlar:**
- happy-path, oversell, concurrency, idempotency, TTL testlari
- CI yashil || TEST: TC1 npm test yashil; TC2 oh=100,2x reserve60->1 fail,res<=100; TC3 50 concurrent->yig'indi=100 overshoot yo'q; TC4 CI yashil.",Phase 0;Backend-Commerce;Blocker;M,Dilshodbek,2026-08-03
Phase 0,C0.11 seller-cabinet setup,"**Maqsad:** Sotuvchi kabineti (frontend) loyihasini boshlash.

Vite + React 19 + TypeScript asosida loyiha quriladi. antd (UI kutubxona), Redux Toolkit (holat), react-query (server ma'lumoti), router qo'shiladi. C0.0b dagi dizayn tokenlari (rang/shrift) ulanadi.

**Ishlar:**
- Vite + React 19 + TS + antd + RTK + react-query + router
- dizayn tokenlari ulanishi || TEST: TC1 dev ochiladi; TC2 build xatosiz; TC3 lint 0 xato; TC4 palitra qo'llangan.",Phase 0;Frontend;High;S,Bahodir,2026-07-22
Phase 0,C0.12 Auth foundation (FE),"**Maqsad:** Frontendda tizimga kirish (auth) poydevorini qurish.

Axios interceptor (har so'rovga token qo'shadi, 401 bo'lsa logout), authSlice (token saqlash, sahifa yangilanganda ham qolishi), ProtectedRoute (tokensiz sahifalarga kirmaslik), react-query sozlamasi.

**Ishlar:**
- Axios interceptor (token/401)
- authSlice + persist, ProtectedRoute || TEST: TC1 token->Authorization header; TC2 401->logout; TC3 tokensiz->login redirect; TC4 refresh->token saqlanadi.",Phase 0;Frontend;High;M,Bahodir,2026-07-24
Phase 0,C0.13 App layout + design tokens,"**Maqsad:** Kabinetning umumiy ko'rinishi (layout) va dizayn uslubini o'rnatish.

Chap menyu (sidebar) + tepa panel (header), antd theme (rang/uslub), responsive (telefon/planshet), breadcrumb (qayerdaligini ko'rsatuvchi yo'l).

**Ishlar:**
- Sidebar + header + breadcrumb
- antd theme, responsive (375px'da ham buzilmaydi) || TEST: TC1 nav o'tish ishlaydi; TC2 logout ishlaydi; TC3 375px responsive buzilmaydi.",Phase 0;Frontend;Normal;M,Bahodir,2026-07-28
Phase 0,C0.14 Reusable komponentlar,"**Maqsad:** Ko'p joyda ishlatiladigan tayyor komponentlarni bir marta yozib qo'yish.

Umumiy komponentlar: DataTable (jadval — sahifalash/saralash/qidiruv), FormModal, ConfirmDialog (tasdiq oynasi), ImageUpload (rasm yuklash), StatusTag, MoneyText (pulni chiroyli ko'rsatish: 1 234 567), EmptyState.

**Ishlar:**
- DataTable, FormModal, ConfirmDialog
- ImageUpload, StatusTag, MoneyText, EmptyState || TEST: TC1 DataTable pagination/sort/search; TC2 ConfirmDialog callback; TC3 ImageUpload preview+format rad; TC4 MoneyText 1234567->1 234 567.",Phase 0;Frontend;Normal;M,Bahodir,2026-07-30
Phase 0,C0.15 Register + Login sahifalari,"**Maqsad:** Ro'yxatdan o'tish va login sahifalarini yasash.

Register sahifasi (maydonlar + validatsiya), Login sahifasi. Muvaffaqiyatli kirgach token olinadi va foydalanuvchi dashboardga yo'naltiriladi.

**Ishlar:**
- Register (validatsiya) + Login sahifalari
- token → redirect (dashboard) || TEST: TC1 bo'sh submit->validatsiya; TC2 register->success; TC3 login->token->dashboard; TC4 noto'g'ri parol->xato.",Phase 0;Frontend;High;M,Bahodir,2026-08-03
Phase 1,C1.1 Elchi partner entities,"**Maqsad:** Elchi tomonda marketplace'ni tanish uchun ""hamkor"" (partner) ma'lumotlarini saqlash.

Elchi-Backend'da `partner` jadvali qo'shiladi: api kalit hash'i, webhook manzili, HMAC secret (AES bilan shifrlangan), aktivligi. Marketplace shu kalit orqali Elchi API'siga murojaat qiladi. Migratsiya yoziladi, mavjud Elchi testlari buzilmasligi kerak.

**Ishlar:**
- partner entity (api_key_hash, webhook_url, secret AES, is_active) + partner_shipment_ref
- migratsiya, secret shifrlangan holda || TEST: TC1 migratsiya integration_schema; TC2 mavjud Elchi testlari yashil; TC3 secret AES(ochiq emas).",Phase 1;Elchi-Integration;High;S,Lead,2026-08-03
Phase 1,C1.2 Elchi PartnerApiKeyGuard + gateway,"**Maqsad:** Elchi Partner API'ga faqat to'g'ri kalit bilan kirishni ta'minlash.

`X-Api-Key` header'i tekshiriladi (PartnerApiKeyGuard) — kalit bazadagi hamkorga mos bo'lsa `req.partner` to'ldiriladi. Controller, Swagger va rate-limit qo'shiladi. Bu JWT emas, alohida API-key mexanizmi.

**Ishlar:**
- PartnerApiKeyGuard (X-Api-Key → validate → req.partner)
- controller + Swagger + rate-limit || TEST: TC1 to'g'ri key->o'tadi; TC2 noto'g'ri key 401; TC3 limitdan oshiq 429; TC4 JWT emas API-key.",Phase 1;Elchi-Integration;Blocker;M,Lead,2026-08-05
Phase 1,C1.3 Elchi partner CRUD + kalit,"**Maqsad:** Hamkorlarni va ularning kalitlarini boshqarish (yaratish/yangilash).

Partner CRUD: yaratish, kalitni yangilash (rotate), aktivlashtirish. Kalit hash sifatida saqlanadi, secret AES bilan shifrlanadi, har amal activity-log'ga yoziladi. Yangi kalit faqat bir marta ko'rsatiladi.

**Ishlar:**
- create/rotate/activate, kalit hash, secret AES
- activity-log || TEST: TC1 create->key bir marta ko'rsatiladi; TC2 rotate->eski 401 yangi ishlaydi; TC3 inactive->403; TC4 activity-log.",Phase 1;Elchi-Integration;Normal;S,Lead,2026-08-06
Phase 1,C1.4 Elchi geo passthrough,"**Maqsad:** Marketplace'ga Elchi'ning hudud (region/tuman) va tarif ma'lumotlarini ochish.

Elchi'ning ichki logistika ma'lumotlari (regionlar, tumanlar, yetkazish tarifi) Partner API orqali ""passthrough"" qilinadi — marketplace shu ro'yxatlarni oladi (manzil tanlash uchun).

**Ishlar:**
- regions / districts / tariff endpointlari (passthrough) || TEST: TC1 regions bo'sh emas; TC2 districts?region_id filtr; TC3 tariff summa qaytadi.",Phase 1;Elchi-Integration;Normal;S,Lead,2026-08-07
Phase 1,C1.5 Elchi POST /partner/markets,"**Maqsad:** Har bir sotuvchi uchun Elchi tizimida alohida ""market"" akkaunt ochish (pul va posilka shu akkauntga bog'lanadi).

Partner API'da `POST /partner/markets` yoziladi — u Elchi'da market + kassa (cashbox) yaratadi. Idempotent: bir sotuvchi uchun ikki marta chaqirilsa, yangi market ochilmaydi (`external_seller_id` bo'yicha). Javobda `elchi_market_id` qaytadi.

**Ishlar:**
- market + cashbox provision (idempotent external_seller_id)
- javobda elchi_market_id || TEST: TC1 yangi->market+cashbox, id qaytadi; TC2 idempotent 2x->yangi yaratilmaydi; TC3 market shu partner bilan bog'langan.",Phase 1;Elchi-Integration;Blocker;L,Lead,2026-08-12
Phase 1,C1.6 Marketplace elchi-integration client,"**Maqsad:** Marketplace tomonda Elchi bilan gaplashadigan mijoz (client) kodini yozish.

Sotuvchi approve bo'lganda elchi-integration `POST /partner/markets` chaqiradi va qaytgan `elchi_market_id` ni `shop`ga yozadi. Geo ma'lumot keshlanadi, kalit AES bilan saqlanadi, xatoda qayta urinadi (retry — lekin 2 marta market ochilmaydi).

**Ishlar:**
- approve → market provision → shop.elchi_market_id
- geo_cache sync, AES kalit, retry || TEST: TC1 approve->elchi_market_id to'ldiriladi; TC2 Elchi down->retry, 2x market ochilmaydi; TC3 geo_cache mos.",Phase 1;Elchi-Integration;High;M,Lead,2026-08-14
Phase 1,C1.7 Admin backend shops moderatsiya,"**Maqsad:** Adminga do'konlarni ko'rish va tasdiqlash/rad etish imkonini berish (backend).

`GET /admin/shops` (filtrlash bilan), `approve` (do'konni aktiv qiladi + default ombor + Elchi market provision), `reject`, va sotuvchiga xabar (notify). Faqat admin kira oladi.

**Ishlar:**
- GET /admin/shops (status filtr)
- approve (active + warehouse + provision), reject + notify || TEST: TC1 ?status=pending filtr; TC2 approve->active+warehouse+market_id; TC3 reject+notify; TC4 seller admin route 403.",Phase 1;Backend-Core;High;M,Lead,2026-08-18
Phase 1,C1.8 Seller register endpoint,"**Maqsad:** Sotuvchi o'zini ro'yxatdan o'tkazganda foydalanuvchi va do'kon birga (atomik) yaratilishi.

`POST /sellers/register` — bitta tranzaksiyada `user(SELLER, inactive)` va `shop(PENDING)` yaratiladi. Biri xato bo'lsa ikkalasi bekor bo'ladi (rollback). Adminga xabar boradi, takroriy telefon tekshiriladi.

**Ishlar:**
- user + shop atomik yaratish (rollback bilan)
- admin notify, dublikat telefon tekshiruvi || TEST: TC1 register->user+shop ikkalasi; TC2 shop xato->user rollback; TC3 dublikat 409; TC4 admin notify.",Phase 1;Backend-Commerce;Blocker;M,Dilshodbek,2026-08-05
Phase 1,C1.9 Shop profil /sellers/me,"**Maqsad:** Sotuvchi o'z do'koni profilini ko'rishi va tahrirlashi.

`GET /sellers/me` va `PATCH /sellers/me`. SelfGuard bilan himoyalanadi — sotuvchi faqat o'z do'konini ko'radi/tahrirlaydi, boshqasiniki 403.

**Ishlar:**
- GET/PATCH shop profil
- SelfGuard (o'zganiki 403) || TEST: TC1 GET o'z do'koni; TC2 PATCH saqlanadi; TC3 boshqa do'kon->403.",Phase 1;Backend-Commerce;Normal;S,Dilshodbek,2026-08-06
Phase 1,C1.10 Category CRUD + public tree,"**Maqsad:** Kategoriyalarni boshqarish (admin) va ochiq daraxt ko'rinishida berish.

Admin kategoriya CRUD qiladi (slug takrorlanmaydi). Ommaga (public) kategoriyalar daraxt (ierarxik) ko'rinishida beriladi.

**Ishlar:**
- admin CRUD (slug uniq)
- public tree (ierarxik ro'yxat) || TEST: TC1 parent bilan yaratish->daraxt; TC2 GET /categories ierarxik; TC3 dublikat slug xato/user 403.",Phase 1;Backend-Commerce;Normal;S,Dilshodbek,2026-08-07
Phase 1,C1.11 Product CRUD (boy),"**Maqsad:** Mahsulotlarni to'liq boshqarish (sotuvchi).

Boy Product CRUD: slug, tavsif, narx, atributlar, status. `/products/my` — sotuvchi faqat o'z mahsulotlarini ko'radi (filtr bilan). Egalik tekshiriladi — boshqaning mahsulotini tahrirlab/o'chirib bo'lmaydi.

**Ishlar:**
- CRUD (slug avtomat, narx/nom validatsiya)
- /products/my (filtr), ownership (403) || TEST: TC1 create->slug avtomat; TC2 /my faqat o'ziniki+filter; TC3 boshqa mahsulot PATCH/DELETE 403; TC4 manfiy narx/bo'sh nom 400.",Phase 1;Backend-Commerce;Blocker;L,Dilshodbek,2026-08-12
Phase 1,C1.12 Product variant CRUD,"**Maqsad:** Mahsulot variantlarini (rang/o'lcham) boshqarish.

Variant CRUD: sku, atributlar, narx, barcode. Variantsiz mahsulotga ham avtomat bitta ""default"" variant yaratiladi. SKU takrorlanmaydi.

**Ishlar:**
- variant CRUD (sku uniq)
- variantsizga default variant avtomat || TEST: TC1 variantsiz->default variant avtomat; TC2 variant qo'shish->narx null=product; TC3 dublikat sku xato.",Phase 1;Backend-Commerce;High;M,Dilshodbek,2026-08-14
Phase 1,C1.13 file-service MinIO + media upload,"**Maqsad:** Rasm/media yuklash xizmatini yaratish (MinIO).

file-service MinIO bucket va URL beradi. `POST /files/upload` — fayl validatsiya bilan (format/hajm) yuklanadi, mahsulotga bir nechta rasm (images jsonb) va cover biriktiriladi.

**Ishlar:**
- MinIO bucket + URL
- /files/upload (validatsiya), images jsonb + cover || TEST: TC1 upload->URL ochiladi; TC2 10MB+/.exe rad; TC3 3 rasm->jsonb+cover.",Phase 1;Backend-Commerce;High;M,Dilshodbek,2026-08-18
Phase 1,C1.14 Warehouse + stock GET,"**Maqsad:** Omborlar va qoldiqni ko'rish (sotuvchi).

Ombor CRUD, qoldiqni ko'rish (`GET /stock`), kam qolgan tovarlar (`/stock/low`). Sotuvchi faqat o'z do'koni ma'lumotini ko'radi.

**Ishlar:**
- warehouses CRUD (birinchi = default)
- GET stock, /stock/low (threshold ostidagilar) || TEST: TC1 ombor yaratish->birinchi default; TC2 GET stock faqat o'z do'koni; TC3 /low threshold ostidagilar.",Phase 1;Backend-Commerce;High;M,Dilshodbek,2026-08-20
Phase 1,C1.15 Inbound/adjust endpointlari,"**Maqsad:** Sotuvchi qo'lda tovar kirim qilishi va qoldiqni tuzatishi.

`inbound` (kirim, +) va `adjust` (tuzatish, sabab bilan) endpointlari. Har amal `stock_movement` jurnaliga actor bilan yoziladi. Boshqaning ombori 403.

**Ishlar:**
- inbound + adjust (sabab) → movement jurnal
- boshqa ombor 403 || TEST: TC1 inbound50->oh+50+movement; TC2 adjust-5 sabab+actor; TC3 boshqa ombor 403.",Phase 1;Backend-Commerce;Normal;S,Dilshodbek,2026-08-21
Phase 1,C1.16 Seller orders + dashboard,"**Maqsad:** Sotuvchiga o'z buyurtmalari va statistikasini ko'rsatish.

`/seller/orders` — sotuvchi buyurtmalari (Elchi statusi bilan). `/seller/dashboard` — jamlangan ko'rsatkichlar (sotuv, daromad va h.k.). Buyurtma bo'lmasa bo'sh/0 (xato emas).

**Ishlar:**
- /seller/orders (faqat o'ziniki)
- /seller/dashboard (aggregate) || TEST: TC1 orders faqat o'ziniki; TC2 dashboard sotuv/daromad to'g'ri; TC3 buyurtmasiz->bo'sh,0(xato emas).",Phase 1;Backend-Commerce;Normal;M,Dilshodbek,2026-08-25
Phase 1,C1.17 notification-service,"**Maqsad:** Bildirishnoma (xabar) xizmatini yaratish.

notification-service: `notification` jadvali + in-app + adapter (email/telegram/sms). Muhim hodisalarda (ro'yxat, approve, buyurtma) xabar yoziladi va yuboriladi; adapter xatosida qayta urinadi.

**Ishlar:**
- notification entity + in-app + adapter (email/tg/sms)
- eventlar → notification, retry || TEST: TC1 event->notification yoziladi(in-app); TC2 adapter chaqiriladi(mock); TC3 adapter xato->retry/queue.",Phase 1;Backend-Commerce;Normal;M,Dilshodbek,2026-08-27
Phase 1,C1.18 Shop profil sahifasi (FE),"**Maqsad:** Do'kon profili sahifasi (frontend).

Sotuvchi do'kon ma'lumotini ko'radi/tahrirlaydi, logo va banner yuklaydi, saqlaydi.

**Ishlar:**
- ko'rish/tahrir, logo/banner upload, save || TEST: TC1 joriy ma'lumot to'ldirilgan; TC2 save->o'zgargan; TC3 logo preview+saqlanadi.",Phase 1;Frontend;Normal;M,Bahodir,2026-08-05
Phase 1,C1.19 Products list sahifasi (FE),"**Maqsad:** Mahsulotlar ro'yxati sahifasi (frontend).

Jadval: qidiruv, filtr, status, sahifalash. Tez amallar (o'chirish/tahrir), react-query cache.

**Ishlar:**
- jadval (search/filter/status/pagination)
- tez amallar, delete → tasdiq || TEST: TC1 pagination ishlaydi; TC2 search filtr; TC3 delete->tasdiq->yo'qoladi.",Phase 1;Frontend;High;M,Bahodir,2026-08-07
Phase 1,C1.20 Product create/edit forma (FE),"**Maqsad:** Mahsulot qo'shish/tahrirlash formasi (frontend).

Boy forma (nom, tavsif, narx, kategoriya, atribut), rasm yuklash. Yangi mahsulot saqlanadi yoki mavjudi yangilanadi, majburiy maydonlar validatsiya qilinadi.

**Ishlar:**
- boy forma + rasm upload
- create/update, validatsiya, kategoriya select || TEST: TC1 yangi saqlash->ro'yxatda; TC2 edit->o'zgaradi; TC3 majburiy bo'sh->validatsiya; TC4 kategoriya select.",Phase 1;Frontend;Blocker;L,Bahodir,2026-08-12
Phase 1,C1.21 Variant management UI (FE),"**Maqsad:** Variantlarni boshqarish interfeysi (frontend).

Variant qo'shish/tahrirlash/o'chirish jadvali; variantsiz holat uchun default.

**Ishlar:**
- variant qo'shish/tahrir/o'chirish jadvali
- variantsizda default || TEST: TC1 variant qo'shish->saqlanadi; TC2 o'chirish->yo'qoladi; TC3 variantsizda default.",Phase 1;Frontend;High;M,Bahodir,2026-08-14
Phase 1,C1.22 Media upload UI (FE),"**Maqsad:** Ko'p rasm yuklash interfeysi (frontend).

Drag-and-drop bilan bir nechta rasm, tartibni o'zgartirish, cover (asosiy rasm) belgilash, yuklash progressi.

**Ishlar:**
- ko'p rasm drag-drop, tartib/cover, progress || TEST: TC1 bir nechta->preview; TC2 drag tartib saqlanadi; TC3 cover belgilanadi.",Phase 1;Frontend;Normal;M,Bahodir,2026-08-18
Phase 1,C1.23 Warehouses sahifasi (FE),"**Maqsad:** Omborlar sahifasi (frontend).

Omborlar ro'yxati, yangi ombor qo'shish, default belgilash.

**Ishlar:**
- list/create, default (bitta default) || TEST: TC1 yaratish->ro'yxatda; TC2 default->bitta default.",Phase 1;Frontend;Normal;S,Bahodir,2026-08-19
Phase 1,C1.24 Stock (qoldiq) sahifasi (FE),"**Maqsad:** Qoldiq (stock) sahifasi (frontend).

Qoldiq jadvali, kirim/tuzatish modal oynasi, kam qolgan tovar ajratib ko'rsatiladi.

**Ishlar:**
- qoldiq jadval, inbound/adjust modal, low-stock highlight || TEST: TC1 jadval to'g'ri sonlar; TC2 inbound+10->yangilanadi; TC3 low-stock ajratilgan.",Phase 1;Frontend;High;M,Bahodir,2026-08-21
Phase 1,C1.25 Orders sahifasi (FE),"**Maqsad:** Buyurtmalar sahifasi (frontend).

Buyurtmalar ro'yxati + Elchi status timeline (yo'nalish tarixi), filtr.

**Ishlar:**
- list + Elchi status timeline, filter || TEST: TC1 ro'yxat+status rang; TC2 filter natija; TC3 timeline ochiladi.",Phase 1;Frontend;Normal;M,Bahodir,2026-08-25
Phase 1,C1.26 Dashboard sahifasi (FE),"**Maqsad:** Statistika (dashboard) sahifasi (frontend).

Ko'rsatkich kartalari, grafik, top mahsulotlar. Ma'lumot bo'lmasa ham chiroyli ko'rinadi.

**Ishlar:**
- kartalar, chart, top mahsulot || TEST: TC1 kartalar backend'ga mos; TC2 chart render(bo'sh ham).",Phase 1;Frontend;Normal;M,Bahodir,2026-08-27
Phase 1,C1.27 Admin shops moderatsiya UI (FE),"**Maqsad:** Admin do'kon moderatsiyasi interfeysi (frontend).

Kutilayotgan (pending) do'konlar ro'yxati, batafsil ko'rish + approve/reject, status o'zgarishi.

**Ishlar:**
- pending list, detail + approve/reject, status || TEST: TC1 pending ro'yxat; TC2 approve->active,ro'yxatdan chiqadi; TC3 reject sabab bilan.",Phase 1;Frontend;High;M,Bahodir,2026-08-31
